train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps
0.0003,37.97675323486328,1.0056272745132446,321.9288024902344,-10.078516,-0.010913555510342121,19,99,1,200.0,10,200
0.0003,34.194305419921875,0.9917662143707275,318.70611572265625,-7.2437975,-0.03671364113688469,39,299,2,200.0,10,400
0.0003,13.645448684692383,0.9142794013023376,170.22293090820312,-13.328808333333335,-0.9889360070228577,59,499,3,200.0,10,600
0.0003,4.805716514587402,0.8424016833305359,78.0618896484375,-15.174187250000001,-2.095163583755493,79,699,4,200.0,10,800
0.0003,3.0013716220855713,0.7818523645401001,78.119384765625,-15.069430400000002,-2.629098653793335,99,899,5,200.0,10,1000
0.0003,-8.496009826660156,0.7279940843582153,46.59751892089844,-16.367139166666668,-4.177746295928955,119,1099,6,200.0,10,1200
0.0003,-14.119422912597656,0.6782955527305603,34.3927001953125,-17.918800285714287,-4.892231464385986,139,1299,7,200.0,10,1400
0.0003,-17.756587982177734,0.6316612958908081,27.713871002197266,-18.59098575,-6.51884651184082,159,1499,8,200.0,10,1600
0.0003,-21.89739227294922,0.5876207947731018,16.008342742919922,-17.446786,-7.954532623291016,179,1699,9,200.0,10,1800
0.0003,-24.020307540893555,0.5471181869506836,20.198984146118164,-17.300964999999998,-9.99725341796875,199,1899,10,200.0,10,2000
0.0003,-26.413942337036133,0.5105106234550476,13.363341331481934,-17.236430636363636,-11.181841850280762,219,2099,11,200.0,10,2200
0.0003,-27.211828231811523,0.47682464122772217,9.897638320922852,-16.611469416666665,-11.467026710510254,239,2299,12,200.0,10,2400
0.0003,-29.13541603088379,0.446221262216568,12.879894256591797,-16.193886692307693,-13.596510887145996,259,2499,13,200.0,10,2600
0.0003,-28.614261627197266,0.4180558919906616,12.177579879760742,-16.249408214285715,-13.637015342712402,280,2699,14,200.0,9,2800
0.0003,-30.344614028930664,0.3920876979827881,4.425179958343506,-16.9245964,-15.438507080078125,300,2899,15,200.0,9,3000
0.0003,-31.22024917602539,0.36793357133865356,8.591958999633789,-16.85728675,-16.605409622192383,320,3099,16,200.0,9,3200
0.0003,-30.14314079284668,0.34553638100624084,7.57326602935791,-17.34910188235294,-17.453733444213867,340,3299,17,200.0,9,3400
0.0003,-30.675128936767578,0.32435059547424316,7.4440460205078125,-16.879338055555554,-19.57862663269043,360,3499,18,200.0,9,3600
0.0003,-31.13039779663086,0.30413174629211426,3.036118507385254,-17.003834842105263,-20.487106323242188,380,3699,19,200.0,9,3800
0.0003,-31.30233383178711,0.2853761911392212,3.393362045288086,-16.74552825,-22.073585510253906,400,3899,20,200.0,9,4000
0.0003,-30.608718872070312,0.26799246668815613,5.316674709320068,-16.37599595238095,-22.73984146118164,420,4099,21,200.0,9,4200
0.0003,-29.388004302978516,0.2517063021659851,4.800415515899658,-16.370277227272723,-24.016780853271484,440,4299,22,200.0,9,4400
0.0003,-29.664709091186523,0.2364751100540161,3.356715679168701,-15.808864173913042,-24.78155517578125,460,4499,23,200.0,9,4600
0.0003,-28.711532592773438,0.22228874266147614,2.976881980895996,-15.200278416666668,-26.004241943359375,480,4699,24,200.0,9,4800
0.0003,-28.11307144165039,0.20911143720149994,6.785303592681885,-15.053039560000002,-26.72998809814453,500,4899,25,200.0,9,5000
0.0003,-27.26753044128418,0.19684551656246185,7.991153717041016,-15.661345461538463,-27.557926177978516,520,5099,26,200.0,9,5200
0.0003,-26.902523040771484,0.18539415299892426,10.763740539550781,-15.808856222222223,-28.861839294433594,540,5299,27,200.0,9,5400
0.0003,-26.441917419433594,0.1746739149093628,2.645273208618164,-15.277679071428574,-29.6060791015625,560,5499,28,200.0,9,5600
0.0003,-25.721145629882812,0.16464415192604065,2.948296546936035,-14.143048655172416,-29.0689697265625,580,5699,29,200.0,9,5800
0.0003,-24.709428787231445,0.15525203943252563,3.4509425163269043,-14.085164133333336,-30.65576171875,600,5899,30,200.0,9,6000
0.0003,-24.68019676208496,0.1464463323354721,4.028274059295654,-13.525061096774197,-31.05673599243164,620,6099,31,200.0,9,6200
0.0003,-23.96729850769043,0.13812761008739471,3.3559937477111816,-13.445064156249998,-31.591293334960938,640,6299,32,200.0,9,6400
0.0003,-23.125839233398438,0.1302698850631714,5.178388595581055,-14.150736636363634,-33.588768005371094,660,6499,33,200.0,9,6600
0.0003,-21.911544799804688,0.12278550863265991,5.125709056854248,-13.944739970588232,-33.65032958984375,680,6699,34,200.0,9,6800
0.0003,-21.58281135559082,0.11571921408176422,2.7217507362365723,-13.012402028571426,-35.11345672607422,700,6899,35,200.0,9,7000
0.0003,-21.115026473999023,0.109072744846344,1.7795274257659912,-12.717396888888887,-35.606510162353516,720,7099,36,200.0,9,7200
0.0003,-20.406354904174805,0.10285080969333649,3.131091833114624,-12.150715270270268,-36.55356979370117,740,7299,37,200.0,9,7400
0.0003,-19.38377571105957,0.09698265790939331,2.0759572982788086,-12.256901815789472,-36.76610565185547,760,7499,38,200.0,9,7600
0.0003,-18.793529510498047,0.09148730337619781,1.509458065032959,-11.718922128205126,-38.00629806518555,780,7699,39,200.0,9,7800
0.0003,-17.94808006286621,0.08628389239311218,1.3422751426696777,-11.55368225,-38.12691879272461,800,7899,40,200.0,9,8000
0.0003,-17.652259826660156,0.08139975368976593,1.3855482339859009,-10.921628829268293,-39.012054443359375,820,8099,41,200.0,9,8200
0.0003,-16.355396270751953,0.07679016143083572,1.7573459148406982,-11.057912642857143,-38.561767578125,840,8299,42,200.0,9,8400
0.0003,-15.790192604064941,0.07244112342596054,1.1222267150878906,-10.92773381395349,-40.78245162963867,860,8499,43,200.0,9,8600
0.0003,-15.829182624816895,0.06834658980369568,1.2012853622436523,-10.827682681818182,-41.26792907714844,880,8699,44,200.0,9,8800
0.0003,-15.092367172241211,0.06449878215789795,2.266331195831299,-10.961995311111112,-42.34806823730469,900,8899,45,200.0,9,9000
0.0003,-14.42449951171875,0.06085747852921486,0.9506758451461792,-10.732317847826089,-41.56642150878906,920,9099,46,200.0,9,9200
0.0003,-13.811806678771973,0.0574401319026947,0.8599385023117065,-10.430790617021279,-41.86587142944336,940,9299,47,200.0,9,9400
0.0003,-12.880948066711426,0.05422689765691757,1.7741620540618896,-10.070258958333334,-41.81550598144531,960,9499,48,200.0,9,9600
0.0003,-12.792254447937012,0.051197003573179245,0.998930811882019,-9.818754734693877,-42.15946960449219,980,9699,49,200.0,9,9800
0.0003,-12.293920516967773,0.048350948840379715,0.8075898885726929,-9.713196420000001,-42.83675765991211,1000,9899,50,200.0,9,10000
0.0003,-11.818876266479492,0.04567116126418114,0.9580289125442505,-10.32848719607843,-42.91639709472656,1020,10099,51,200.0,9,10200
0.0003,-11.516292572021484,0.043134067207574844,0.7238554954528809,-9.959143326923076,-43.89555358886719,1040,10299,52,200.0,9,10400
0.0003,-11.252388000488281,0.04075625538825989,1.0915486812591553,-9.89762513207547,-44.50780487060547,1060,10499,53,200.0,9,10600
0.0003,-10.720525741577148,0.03849344700574875,0.6245386600494385,-9.234442777777778,-44.52129364013672,1080,10699,54,200.0,9,10800
0.0003,-9.970733642578125,0.03635876998305321,1.0606337785720825,-8.744406127272727,-44.23337173461914,1100,10899,55,200.0,9,11000
0.0003,-9.424241065979004,0.03437154367566109,0.8338131904602051,-8.282463642857142,-44.235599517822266,1120,11099,56,200.0,9,11200
0.0003,-9.293027877807617,0.03248022496700287,0.49001502990722656,-7.91974849122807,-46.61624526977539,1140,11299,57,200.0,9,11400
0.0003,-9.188511848449707,0.03069525770843029,0.9361454844474792,-7.235090931034483,-44.74205780029297,1160,11499,58,200.0,9,11600
0.0003,-8.502196311950684,0.029022861272096634,0.46052634716033936,-6.746160728813559,-45.37443542480469,1181,11699,59,200.0,9,11800
0.0003,-8.040000915527344,0.027451707050204277,0.6856282949447632,-6.049792983333333,-45.948341369628906,1201,11899,60,200.0,9,12000
0.0003,-8.000655174255371,0.025974443182349205,0.676131010055542,-5.7519502622950816,-43.23807907104492,1221,12099,61,200.0,9,12200
0.0003,-7.991119384765625,0.024585772305727005,0.523464560508728,-5.827958032258064,-46.15544509887695,1241,12299,62,200.0,9,12400
0.0003,-7.632086277008057,0.023274876177310944,0.48976415395736694,-5.348416904761905,-43.16615295410156,1261,12499,63,200.0,9,12600
0.0003,-7.395338535308838,0.022043976932764053,0.6362357139587402,-4.12783540625,-44.30207061767578,1281,12699,64,200.0,9,12800
0.0003,-7.138553142547607,0.02089572697877884,0.42397767305374146,-4.217219338461539,-41.3779296875,1301,12899,65,200.0,9,13000
0.0003,-6.627144813537598,0.019828902557492256,0.4672034680843353,-3.5923307272727274,-39.459346771240234,1321,13099,66,200.0,9,13200
0.0003,-6.583468437194824,0.018840303644537926,0.4924520254135132,-2.7615470746268658,-41.213035583496094,1341,13299,67,200.0,9,13400
0.0003,-6.494856357574463,0.01790078729391098,0.5816189646720886,-1.820039632352941,-40.18339920043945,1361,13499,68,200.0,9,13600
0.0003,-6.410956859588623,0.017020510509610176,0.4486391544342041,-1.1616862898550724,-36.605682373046875,1381,13699,69,200.0,9,13800
0.0003,-6.029375076293945,0.016186973080039024,0.45898622274398804,-0.17388501428571418,-36.219364166259766,1401,13899,70,200.0,9,14000
0.0003,-5.648048400878906,0.01541255135089159,0.42060691118240356,0.3937270704225353,-34.482261657714844,1421,14099,71,200.0,9,14200
